mes,departamento,respondentes,promotores,neutros,detratores
2024-01,Contabilidade,54,26,10,4
2024-01,Contabilidade,37,23,6,5
2024-01,Contabilidade,52,29,9,3
2024-01,Comercial,15,8,2,1
2024-01,Comercial,16,7,2,1
2024-01,Contabilidade,48,25,7,4
2024-01,Contabilidade,49,30,7,4
2024-01,Comercial,10,9,2,1
2024-01,Comercial,16,12,3,1
2024-01,Comercial,12,9,2,1
2024-01,Contabilidade,40,25,7,5
2024-01,Comercial,13,8,2,1
2024-01,Comercial,9,9,2,1
2024-01,Contabilidade,43,32,8,5
2024-01,Contabilidade,31,23,8,4
2024-01,Comercial,12,12,3,1
2024-01,Contabilidade,44,36,8,4
2024-01,Contabilidade,42,36,10,4
2024-01,Comercial,10,7,3,1
2024-01,Comercial,11,10,2,1
2024-01,Comercial,12,7,2,1
2024-01,Contabilidade,53,36,10,4
2024-01,Contabilidade,45,23,8,4
2024-01,Contabilidade,37,27,9,4
2024-01,Comercial,15,10,2,1
2024-01,Contabilidade,33,32,7,4
2024-01,Comercial,12,10,2,1
2024-01,Contabilidade,34,26,8,5
2024-01,Contabilidade,46,28,7,5
2024-01,Comercial,16,11,2,1
2024-01,Contabilidade,52,22,7,3
2024-01,Comercial,10,8,2,1
2024-01,Contabilidade,30,28,8,4
2024-01,Comercial,12,8,3,1
2024-01,Comercial,14,9,2,1
2024-01,Comercial,10,12,3,1
2024-01,Contabilidade,34,26,7,4
2024-01,Contabilidade,52,31,9,5
2024-01,Comercial,15,9,2,1
2024-01,Contabilidade,54,25,8,4
2024-01,Comercial,16,8,3,1
2024-01,Comercial,10,8,2,1
2024-01,Comercial,11,10,2,1
2024-01,Contabilidade,43,36,9,5
2024-01,Comercial,12,8,2,1
2024-01,Contabilidade,33,27,9,3
2024-01,Comercial,13,9,2,1
2024-01,Contabilidade,35,22,8,5
2024-01,Comercial,12,8,2,1
2024-01,Comercial,10,7,2,1
2024-01,Comercial,13,10,2,1
2024-01,Comercial,15,10,2,1
2024-01,Contabilidade,33,23,10,5
2024-01,Comercial,13,7,2,1
2024-01,Comercial,10,9,3,1
2024-01,Comercial,12,11,2,1
2024-01,Comercial,9,10,2,1
2024-01,Comercial,10,11,2,1
2024-01,Comercial,13,9,2,1
2024-01,Comercial,14,12,2,1
2024-01,Contabilidade,51,28,10,4
2024-01,Contabilidade,38,28,7,4
2024-01,Comercial,15,9,2,1
2024-01,Contabilidade,39,36,10,4
2024-01,Comercial,14,8,2,1
2024-01,Comercial,16,7,3,1
2024-01,Comercial,15,12,2,1
2024-01,Comercial,13,11,2,1
2024-01,Comercial,12,10,2,1
2024-01,Comercial,14,10,2,1
2024-01,Contabilidade,33,33,10,5
2024-01,Contabilidade,30,30,7,4
2024-01,Contabilidade,42,23,7,3
2024-01,Comercial,16,7,2,1
2024-01,Comercial,13,12,2,1
2024-01,Comercial,12,9,2,1
2024-01,Contabilidade,48,24,11,5
2024-01,Comercial,14,7,2,1
2024-01,Comercial,9,10,2,1
2024-01,Comercial,13,8,3,1
2024-01,Contabilidade,49,31,8,3
2024-01,Comercial,12,8,2,1
2024-01,Comercial,13,9,2,1
2024-01,Contabilidade,37,35,9,3
2024-01,Comercial,11,12,2,1
2024-01,Comercial,11,8,2,1
2024-01,Comercial,11,9,2,1
2024-01,Comercial,16,8,2,1
2024-01,Comercial,13,10,2,1
2024-01,Comercial,16,12,2,1
2024-01,Contabilidade,41,22,6,4
2024-01,Contabilidade,45,25,7,5
2024-01,Contabilidade,46,35,8,5
2024-01,Contabilidade,48,23,7,5
2024-01,Contabilidade,45,32,8,3
2024-01,Contabilidade,33,34,7,5
2024-01,Comercial,12,9,2,1
2024-01,Comercial,14,11,3,1
2024-01,Contabilidade,45,23,10,5
2024-01,Contabilidade,50,32,10,5